t,theta_wrapped,theta_unwrapped,gap,d_cath
15.385000,4.1887748388,4.1887748388,4.915184e-04,2.000000e-05
15.390000,4.1887748231,4.1887748231,4.850908e-04,2.000000e-05
15.395000,4.1887748073,4.1887748073,4.786632e-04,2.000000e-05
15.400000,4.1887747915,4.1887747915,4.722356e-04,2.000000e-05
15.405000,4.1887747756,4.1887747756,4.658079e-04,2.000000e-05
15.410000,4.1887747598,4.1887747598,4.593803e-04,2.000000e-05
15.415000,4.1887747439,4.1887747439,4.529527e-04,2.000000e-05
15.420000,4.1887747280,4.1887747280,4.465251e-04,2.000000e-05
15.425000,4.1887747120,4.1887747120,4.400975e-04,2.000000e-05
15.430000,4.1887746961,4.1887746961,4.336699e-04,2.000000e-05
15.435000,4.1887746801,4.1887746801,4.272423e-04,2.000000e-05
15.440000,4.1887746641,4.1887746641,4.208147e-04,2.000000e-05
15.445000,4.1887746481,4.1887746481,4.143870e-04,2.000000e-05
15.450000,4.1887746321,4.1887746321,4.079594e-04,2.000000e-05
15.455000,4.1887746161,4.1887746161,4.015318e-04,2.000000e-05
15.460000,4.1887746000,4.1887746000,3.951042e-04,2.000000e-05
15.465000,4.1887745839,4.1887745839,3.886766e-04,2.000000e-05
15.470000,4.1887745678,4.1887745678,3.822490e-04,2.000000e-05
15.475000,4.1887745517,4.1887745517,3.758214e-04,2.000000e-05
15.480000,4.1887745355,4.1887745355,3.693938e-04,2.000000e-05
15.485000,4.1887745194,4.1887745194,3.629661e-04,2.000000e-05
15.490000,4.1887745032,4.1887745032,3.565385e-04,2.000000e-05
15.495000,4.1887744870,4.1887744870,3.501109e-04,2.000000e-05
15.500000,4.1887744708,4.1887744708,3.436833e-04,2.000000e-05
15.505000,4.1887744545,4.1887744545,3.372557e-04,2.000000e-05
15.510000,4.1887744383,4.1887744383,3.308281e-04,2.000000e-05
15.515000,4.1887744220,4.1887744220,3.244005e-04,2.000000e-05
15.520000,4.1887744057,4.1887744057,3.179729e-04,2.000000e-05
15.525000,4.1887743894,4.1887743894,3.115453e-04,2.000000e-05
15.530000,4.1887743731,4.1887743731,3.051177e-04,2.000000e-05
15.535000,4.1887743568,4.1887743568,2.986901e-04,2.000000e-05
15.540000,4.1887743404,4.1887743404,2.922625e-04,2.000000e-05
15.545000,4.1887743240,4.1887743240,2.858348e-04,2.000000e-05
15.550000,4.1887743076,4.1887743076,2.794072e-04,2.000000e-05
15.555000,4.1887742912,4.1887742912,2.729796e-04,2.000000e-05
15.560000,4.1887742748,4.1887742748,2.665520e-04,2.000000e-05
15.565000,4.1887742584,4.1887742584,2.601244e-04,2.000000e-05
15.570000,4.1887742419,4.1887742419,2.536968e-04,2.000000e-05
15.575000,4.1887742255,4.1887742255,2.472692e-04,2.000000e-05
15.580000,4.1887742090,4.1887742090,2.408416e-04,2.000000e-05
15.585000,4.1887741925,4.1887741925,2.344140e-04,2.000000e-05
15.590000,4.1887741759,4.1887741759,2.279864e-04,2.000000e-05
15.595000,4.1887741594,4.1887741594,2.215588e-04,2.000000e-05
15.600000,4.1887741429,4.1887741429,2.151312e-04,2.000000e-05
15.605000,4.1887741263,4.1887741263,2.087036e-04,2.000000e-05
15.610000,4.1887741097,4.1887741097,2.022760e-04,2.000000e-05
15.615000,4.1887740931,4.1887740931,1.958484e-04,2.000000e-05
15.620000,4.1887740765,4.1887740765,1.894208e-04,2.000000e-05
15.625000,4.1887740599,4.1887740599,1.829932e-04,2.000000e-05
15.630000,4.1887740433,4.1887740433,1.765656e-04,2.000000e-05
15.635000,4.1887740266,4.1887740266,1.701380e-04,2.000000e-05
15.640000,4.1887740099,4.1887740099,1.637104e-04,2.000000e-05
15.645000,4.1887739933,4.1887739933,1.572828e-04,2.000000e-05
15.650000,4.1887739766,4.1887739766,1.508552e-04,2.000000e-05
15.655000,4.1887739598,4.1887739598,1.444276e-04,2.000000e-05
15.660000,4.1887739431,4.1887739431,1.380000e-04,2.000000e-05
15.665000,4.1887739264,4.1887739264,1.315723e-04,2.000000e-05
15.670000,4.1887739096,4.1887739096,1.251447e-04,2.000000e-05
15.675000,4.1887738929,4.1887738929,1.187171e-04,2.000000e-05
15.680000,4.1887738761,4.1887738761,1.122895e-04,2.000000e-05
15.685000,4.1887738593,4.1887738593,1.058619e-04,2.000000e-05
15.690000,4.1887738425,4.1887738425,9.943435e-05,2.000000e-05
15.695000,4.1887738256,4.1887738256,9.300675e-05,2.000000e-05
15.700000,4.1887738088,4.1887738088,8.657915e-05,2.000000e-05
15.705000,4.1887737920,4.1887737920,8.015155e-05,2.000000e-05
15.710000,4.1887737751,4.1887737751,7.372395e-05,2.000000e-05
15.715000,4.1887737582,4.1887737582,6.729635e-05,2.000000e-05
15.720000,4.1887737413,4.1887737413,6.086876e-05,2.000000e-05
15.725000,4.1887737244,4.1887737244,5.444116e-05,2.000000e-05
15.730000,4.1887737075,4.1887737075,4.801356e-05,2.000000e-05
15.735000,4.1887736906,4.1887736906,4.158596e-05,2.000000e-05
15.740000,4.1887736736,4.1887736736,3.515837e-05,2.000000e-05
15.745000,4.1887736567,4.1887736567,2.873077e-05,2.000000e-05
15.750000,4.1887736397,4.1887736397,2.230317e-05,2.000000e-05
15.755000,4.1887736227,4.1887736227,1.587558e-05,2.000000e-05
15.760000,4.1887736162,4.1887736162,9.447982e-06,2.025463e-05
15.765000,4.1887411476,4.1887411476,3.020387e-06,2.309571e-05
15.770000,4.1887583543,4.1887583543,-6.775865e-07,2.580255e-05
15.775000,4.1887582335,4.1887582335,-6.349831e-07,2.575208e-05
15.780000,4.1887587421,4.1887587421,-6.427040e-07,2.574239e-05
15.785000,4.1887587216,4.1887587216,-6.547018e-07,2.573626e-05
15.790000,4.1887587016,4.1887587016,-6.669744e-07,2.573046e-05
15.795000,4.1887586816,4.1887586816,-6.791733e-07,2.572473e-05
15.800000,4.1887586615,4.1887586615,-6.912692e-07,2.571901e-05
15.805000,4.1887586412,4.1887586412,-7.032604e-07,2.571333e-05
15.810000,4.1887586209,4.1887586209,-7.151473e-07,2.570767e-05
15.815000,4.1887586004,4.1887586004,-7.269308e-07,2.570203e-05
15.820000,4.1887589268,4.1887589268,-7.386117e-07,2.590493e-05
15.825000,4.1887585220,4.1887585220,-7.501907e-07,2.570803e-05
15.830000,4.1887584768,4.1887584768,-5.049703e-07,2.569265e-05
15.835000,4.1887587990,4.1887587990,-7.517462e-07,2.589244e-05
15.840000,4.1887583903,4.1887583903,-5.181694e-07,2.569202e-05
15.845000,4.1887583476,4.1887583476,-5.118869e-07,2.567585e-05
15.850000,4.1887583255,4.1887583255,-5.179986e-07,2.566974e-05
15.855000,4.1887583044,4.1887583044,-5.247201e-07,2.566420e-05
15.860000,4.1887582835,4.1887582835,-5.314091e-07,2.565870e-05
15.865000,4.1887582626,4.1887582626,-5.380315e-07,2.565323e-05
15.870000,4.1887582417,4.1887582417,-5.445858e-07,2.564777e-05
15.875000,4.1887582208,4.1887582208,-5.510725e-07,2.564233e-05
15.880000,4.1887581999,4.1887581999,-5.574921e-07,2.563691e-05
15.885000,4.1887581790,4.1887581790,-5.638453e-07,2.563151e-05
15.890000,4.1887581582,4.1887581582,-5.701326e-07,2.562613e-05
15.895000,4.1887581374,4.1887581374,-5.763546e-07,2.562076e-05
15.900000,4.1887581166,4.1887581166,-5.825118e-07,2.561541e-05
15.905000,4.1887580958,4.1887580958,-5.886047e-07,2.561007e-05
15.910000,4.1887580750,4.1887580750,-5.946339e-07,2.560475e-05
15.915000,4.1887580543,4.1887580543,-6.005999e-07,2.559944e-05
15.920000,4.1887580336,4.1887580336,-6.065032e-07,2.559415e-05
15.925000,4.1887580129,4.1887580129,-6.123445e-07,2.558888e-05
15.930000,4.1887579923,4.1887579923,-6.181241e-07,2.558362e-05
15.935000,4.1887579716,4.1887579716,-6.238426e-07,2.557837e-05
15.940000,4.1887579510,4.1887579510,-6.295006e-07,2.557314e-05
15.945000,4.1887579305,4.1887579305,-6.350985e-07,2.556792e-05
15.950000,4.1887579100,4.1887579100,-6.406368e-07,2.556271e-05
15.955000,4.1887578895,4.1887578895,-6.461160e-07,2.555751e-05
15.960000,4.1887578690,4.1887578690,-6.515367e-07,2.555233e-05
15.965000,4.1887578486,4.1887578486,-6.568993e-07,2.554716e-05
15.970000,4.1887578283,4.1887578283,-6.622043e-07,2.554200e-05
15.975000,4.1887578080,4.1887578080,-6.674522e-07,2.553686e-05
15.980000,4.1887577877,4.1887577877,-6.726434e-07,2.553172e-05
15.985000,4.1887577675,4.1887577675,-6.777785e-07,2.552660e-05
15.990000,4.1887577474,4.1887577474,-6.828579e-07,2.552149e-05
15.995000,4.1887577273,4.1887577273,-6.878821e-07,2.551639e-05
16.000000,4.1887577073,4.1887577073,-6.928515e-07,2.551130e-05
16.005000,4.1887576819,4.1887576819,-6.977666e-07,2.550314e-05
16.010000,4.1887576565,4.1887576565,-7.026278e-07,2.549485e-05
16.015000,4.1887576369,4.1887576369,-7.113281e-07,2.548966e-05
16.020000,4.1887576175,4.1887576175,-7.201551e-07,2.548465e-05
16.025000,4.1887575981,4.1887575981,-7.289182e-07,2.547965e-05
16.030000,4.1887578217,4.1887578217,-7.376084e-07,2.568679e-05
16.035000,4.1887576715,4.1887576715,-7.462257e-07,2.569106e-05
16.040000,4.1887572583,4.1887572583,-4.874821e-07,2.547656e-05
16.045000,4.1887572217,4.1887572217,-4.842344e-07,2.546498e-05
16.050000,4.1887571972,4.1887571972,-4.890252e-07,2.545978e-05
16.055000,4.1887571730,4.1887571730,-4.940198e-07,2.545479e-05
16.060000,4.1887571486,4.1887571486,-4.989723e-07,2.544981e-05
16.065000,4.1887571242,4.1887571242,-5.038753e-07,2.544484e-05
16.070000,4.1887570997,4.1887570997,-5.087291e-07,2.543988e-05
16.075000,4.1887570751,4.1887570751,-5.135339e-07,2.543493e-05
16.080000,4.1887570504,4.1887570504,-5.182903e-07,2.542999e-05
16.085000,4.1887570256,4.1887570256,-5.229985e-07,2.542505e-05
16.090000,4.1887570007,4.1887570007,-5.276590e-07,2.542012e-05
16.095000,4.1887569757,4.1887569757,-5.322722e-07,2.541520e-05
16.100000,4.1887569507,4.1887569507,-5.368384e-07,2.541029e-05
16.105000,4.1887569255,4.1887569255,-5.413581e-07,2.540538e-05
16.110000,4.1887569002,4.1887569002,-5.458315e-07,2.540048e-05
16.115000,4.1887568749,4.1887568749,-5.502590e-07,2.539559e-05
16.120000,4.1887568494,4.1887568494,-5.546411e-07,2.539070e-05
16.125000,4.1887568239,4.1887568239,-5.589781e-07,2.538583e-05
16.130000,4.1887567983,4.1887567983,-5.632704e-07,2.538095e-05
16.135000,4.1887567725,4.1887567725,-5.675182e-07,2.537609e-05
16.140000,4.1887567467,4.1887567467,-5.717220e-07,2.537123e-05
16.145000,4.1887567208,4.1887567208,-5.758821e-07,2.536638e-05
16.150000,4.1887566948,4.1887566948,-5.799989e-07,2.536153e-05
16.155000,4.1887566688,4.1887566688,-5.840727e-07,2.535669e-05
16.160000,4.1887566426,4.1887566426,-5.881038e-07,2.535186e-05
16.165000,4.1887566164,4.1887566164,-5.920926e-07,2.534703e-05
16.170000,4.1887565900,4.1887565900,-5.960395e-07,2.534221e-05
16.175000,4.1887565636,4.1887565636,-5.999447e-07,2.533739e-05
16.180000,4.1887565352,4.1887565352,-6.038087e-07,2.533153e-05
16.185000,4.1887565042,4.1887565042,-6.076316e-07,2.532411e-05
16.190000,4.1887564753,4.1887564753,-6.127719e-07,2.531773e-05
16.195000,4.1887564493,4.1887564493,-6.198926e-07,2.531293e-05
16.200000,4.1887564231,4.1887564231,-6.270022e-07,2.530817e-05
16.205000,4.1887563968,4.1887563968,-6.340562e-07,2.530342e-05
16.210000,4.1887563703,4.1887563703,-6.410541e-07,2.529868e-05
16.215000,4.1887563436,4.1887563436,-6.479961e-07,2.529394e-05
16.220000,4.1887563168,4.1887563168,-6.548827e-07,2.528921e-05
16.225000,4.1887562897,4.1887562897,-6.617143e-07,2.528448e-05
