t,theta_wrapped,theta_unwrapped,gap,d_cath
14.990000,4.5378398415,4.5378398415,9.991850e-04,2.000000e-05
14.995000,4.5378398279,4.5378398279,9.927572e-04,2.000000e-05
15.000000,4.5378398142,4.5378398142,9.863294e-04,2.000000e-05
15.005000,4.5378398003,4.5378398003,9.799016e-04,2.000000e-05
15.010000,4.5378397864,4.5378397864,9.734738e-04,2.000000e-05
15.015000,4.5378397723,4.5378397723,9.670461e-04,2.000000e-05
15.020000,4.5378397582,4.5378397582,9.606183e-04,2.000000e-05
15.025000,4.5378397439,4.5378397439,9.541905e-04,2.000000e-05
15.030000,4.5378397296,4.5378397296,9.477627e-04,2.000000e-05
15.035000,4.5378397152,4.5378397152,9.413349e-04,2.000000e-05
15.040000,4.5378397006,4.5378397006,9.349071e-04,2.000000e-05
15.045000,4.5378396860,4.5378396860,9.284793e-04,2.000000e-05
15.050000,4.5378396713,4.5378396713,9.220515e-04,2.000000e-05
15.055000,4.5378396566,4.5378396566,9.156237e-04,2.000000e-05
15.060000,4.5378396417,4.5378396417,9.091959e-04,2.000000e-05
15.065000,4.5378396268,4.5378396268,9.027681e-04,2.000000e-05
15.070000,4.5378396118,4.5378396118,8.963404e-04,2.000000e-05
15.075000,4.5378395967,4.5378395967,8.899126e-04,2.000000e-05
15.080000,4.5378395815,4.5378395815,8.834848e-04,2.000000e-05
15.085000,4.5378395663,4.5378395663,8.770570e-04,2.000000e-05
15.090000,4.5378395509,4.5378395509,8.706292e-04,2.000000e-05
15.095000,4.5378395355,4.5378395355,8.642014e-04,2.000000e-05
15.100000,4.5378395201,4.5378395201,8.577736e-04,2.000000e-05
15.105000,4.5378395046,4.5378395046,8.513458e-04,2.000000e-05
15.110000,4.5378394890,4.5378394890,8.449180e-04,2.000000e-05
15.115000,4.5378394733,4.5378394733,8.384902e-04,2.000000e-05
15.120000,4.5378394576,4.5378394576,8.320625e-04,2.000000e-05
15.125000,4.5378394418,4.5378394418,8.256347e-04,2.000000e-05
15.130000,4.5378394260,4.5378394260,8.192069e-04,2.000000e-05
15.135000,4.5378394101,4.5378394101,8.127791e-04,2.000000e-05
15.140000,4.5378393941,4.5378393941,8.063513e-04,2.000000e-05
15.145000,4.5378393781,4.5378393781,7.999235e-04,2.000000e-05
15.150000,4.5378393620,4.5378393620,7.934957e-04,2.000000e-05
15.155000,4.5378393458,4.5378393458,7.870679e-04,2.000000e-05
15.160000,4.5378393296,4.5378393296,7.806401e-04,2.000000e-05
15.165000,4.5378393134,4.5378393134,7.742123e-04,2.000000e-05
15.170000,4.5378392971,4.5378392971,7.677846e-04,2.000000e-05
15.175000,4.5378392807,4.5378392807,7.613568e-04,2.000000e-05
15.180000,4.5378392643,4.5378392643,7.549290e-04,2.000000e-05
15.185000,4.5378392479,4.5378392479,7.485012e-04,2.000000e-05
15.190000,4.5378392314,4.5378392314,7.420734e-04,2.000000e-05
15.195000,4.5378392148,4.5378392148,7.356456e-04,2.000000e-05
15.200000,4.5378391982,4.5378391982,7.292178e-04,2.000000e-05
15.205000,4.5378391816,4.5378391816,7.227900e-04,2.000000e-05
15.210000,4.5378391649,4.5378391649,7.163622e-04,2.000000e-05
15.215000,4.5378391481,4.5378391481,7.099345e-04,2.000000e-05
15.220000,4.5378391313,4.5378391313,7.035067e-04,2.000000e-05
15.225000,4.5378391145,4.5378391145,6.970789e-04,2.000000e-05
15.230000,4.5378390977,4.5378390977,6.906511e-04,2.000000e-05
15.235000,4.5378390807,4.5378390807,6.842233e-04,2.000000e-05
15.240000,4.5378390638,4.5378390638,6.777955e-04,2.000000e-05
15.245000,4.5378390468,4.5378390468,6.713677e-04,2.000000e-05
15.250000,4.5378390298,4.5378390298,6.649399e-04,2.000000e-05
15.255000,4.5378390127,4.5378390127,6.585122e-04,2.000000e-05
15.260000,4.5378389956,4.5378389956,6.520844e-04,2.000000e-05
15.265000,4.5378389784,4.5378389784,6.456566e-04,2.000000e-05
15.270000,4.5378389612,4.5378389612,6.392288e-04,2.000000e-05
15.275000,4.5378389440,4.5378389440,6.328010e-04,2.000000e-05
15.280000,4.5378389268,4.5378389268,6.263732e-04,2.000000e-05
15.285000,4.5378389095,4.5378389095,6.199454e-04,2.000000e-05
15.290000,4.5378388921,4.5378388921,6.135176e-04,2.000000e-05
15.295000,4.5378388748,4.5378388748,6.070899e-04,2.000000e-05
15.300000,4.5378388574,4.5378388574,6.006621e-04,2.000000e-05
15.305000,4.5378388399,4.5378388399,5.942343e-04,2.000000e-05
15.310000,4.5378388225,4.5378388225,5.878065e-04,2.000000e-05
15.315000,4.5378388050,4.5378388050,5.813787e-04,2.000000e-05
15.320000,4.5378387874,4.5378387874,5.749509e-04,2.000000e-05
15.325000,4.5378387699,4.5378387699,5.685231e-04,2.000000e-05
15.330000,4.5378387523,4.5378387523,5.620954e-04,2.000000e-05
15.335000,4.5378387347,4.5378387347,5.556676e-04,2.000000e-05
15.340000,4.5378387170,4.5378387170,5.492398e-04,2.000000e-05
15.345000,4.5378386993,4.5378386993,5.428120e-04,2.000000e-05
15.350000,4.5378386816,4.5378386816,5.363842e-04,2.000000e-05
15.355000,4.5378386639,4.5378386639,5.299564e-04,2.000000e-05
15.360000,4.5378386461,4.5378386461,5.235286e-04,2.000000e-05
15.365000,4.5378386283,4.5378386283,5.171009e-04,2.000000e-05
15.370000,4.5378386105,4.5378386105,5.106731e-04,2.000000e-05
15.375000,4.5378385926,4.5378385926,5.042453e-04,2.000000e-05
15.380000,4.5378385747,4.5378385747,4.978175e-04,2.000000e-05
15.385000,4.5378385568,4.5378385568,4.913897e-04,2.000000e-05
15.390000,4.5378385389,4.5378385389,4.849619e-04,2.000000e-05
15.395000,4.5378385209,4.5378385209,4.785341e-04,2.000000e-05
15.400000,4.5378385030,4.5378385030,4.721064e-04,2.000000e-05
15.405000,4.5378384849,4.5378384849,4.656786e-04,2.000000e-05
15.410000,4.5378384669,4.5378384669,4.592508e-04,2.000000e-05
15.415000,4.5378384488,4.5378384488,4.528230e-04,2.000000e-05
