t,phi_wrapped,phi_unwrapped
1.965000,6.283025134,-0.0001601736033
1.970000,6.283018773,-0.0001665337153
1.975000,6.283012372,-0.000172935206
1.980000,6.283005932,-0.0001793755928
1.985000,6.282999455,-0.0001858524384
1.990000,6.282992944,-0.000192363352
1.995000,6.282986401,-0.0001989059904
2.000000,6.282979829,-0.0002054780586
2.005000,6.28297323,-0.0002120773107
2.010000,6.282966606,-0.0002187015502
2.015000,6.282959959,-0.0002253486303
2.020000,6.282953291,-0.000232016454
2.025000,6.282946604,-0.0002387029744
2.030000,6.282939901,-0.0002454061942
2.035000,6.282933183,-0.0002521241658
2.040000,6.282926452,-0.0002588549909
2.045000,6.28291971,-0.0002655968205
2.050000,6.282912959,-0.0002723478539
2.055000,6.282906201,-0.0002791063388
2.060000,6.282899437,-0.0002858705706
2.065000,6.282892668,-0.0002926388918
2.070000,6.282885897,-0.0002994096912
2.075000,6.282879126,-0.0003061814039
2.080000,6.282872355,-0.0003129525099
2.085000,6.282865586,-0.000319721534
2.090000,6.28285882,-0.0003264870449
2.095000,6.28285206,-0.0003332476542
2.100000,6.282845305,-0.0003400020161
2.105000,6.282838558,-0.0003467488267
2.110000,6.28283182,-0.0003534868225
2.115000,6.282825092,-0.0003602147808
2.120000,6.282818376,-0.0003669315178
2.125000,6.282811671,-0.0003736358887
2.130000,6.28280498,-0.0003803267863
2.135000,6.282798304,-0.0003870031407
2.140000,6.282791644,-0.0003936634118
2.145000,6.282785,-0.0004003075124
2.150000,6.282778373,-0.0004069344876
2.155000,6.282771764,-0.0004135431003
2.160000,6.282765175,-0.0004201320749
2.165000,6.282758607,-0.0004267006704
2.170000,6.282752059,-0.0004332482337
2.175000,6.282745401,-0.0004399061407
2.180000,6.282738616,-0.0004466906896
2.185000,6.282731982,-0.0004533250371
2.190000,6.282725462,-0.0004598453013
2.195000,6.282719172,-0.0004661352432
2.200000,6.282712969,-0.0004723380084
2.205000,6.282706855,-0.0004784521071
2.210000,6.28270083,-0.0004844767516
2.215000,6.282694896,-0.0004904112553
2.220000,6.282689052,-0.0004962556358
2.225000,6.282683297,-0.0005020099743
2.230000,6.282677632,-0.000507674881
2.235000,6.282672056,-0.0005132511626
2.240000,6.282666568,-0.0005187395572
2.245000,6.282661166,-0.0005241409465
2.250000,6.282655851,-0.0005294562905
2.255000,6.282650621,-0.0005346866084
2.260000,6.282645474,-0.0005398329651
