t,theta_wrapped,theta_unwrapped,gap,d_cath
14.990000,3.4906529281,3.4906529281,9.994562e-04,2.000000e-05
14.995000,3.4906529234,3.4906529234,9.930288e-04,2.000000e-05
15.000000,3.4906529186,3.4906529186,9.866014e-04,2.000000e-05
15.005000,3.4906529138,3.4906529138,9.801740e-04,2.000000e-05
15.010000,3.4906529089,3.4906529089,9.737465e-04,2.000000e-05
15.015000,3.4906529040,3.4906529040,9.673191e-04,2.000000e-05
15.020000,3.4906528991,3.4906528991,9.608917e-04,2.000000e-05
15.025000,3.4906528942,3.4906528942,9.544643e-04,2.000000e-05
15.030000,3.4906528892,3.4906528892,9.480368e-04,2.000000e-05
15.035000,3.4906528842,3.4906528842,9.416094e-04,2.000000e-05
15.040000,3.4906528792,3.4906528792,9.351820e-04,2.000000e-05
15.045000,3.4906528741,3.4906528741,9.287546e-04,2.000000e-05
15.050000,3.4906528690,3.4906528690,9.223272e-04,2.000000e-05
15.055000,3.4906528639,3.4906528639,9.158997e-04,2.000000e-05
15.060000,3.4906528587,3.4906528587,9.094723e-04,2.000000e-05
15.065000,3.4906528535,3.4906528535,9.030449e-04,2.000000e-05
15.070000,3.4906528483,3.4906528483,8.966175e-04,2.000000e-05
15.075000,3.4906528431,3.4906528431,8.901901e-04,2.000000e-05
15.080000,3.4906528378,3.4906528378,8.837627e-04,2.000000e-05
15.085000,3.4906528325,3.4906528325,8.773352e-04,2.000000e-05
15.090000,3.4906528272,3.4906528272,8.709078e-04,2.000000e-05
15.095000,3.4906528218,3.4906528218,8.644804e-04,2.000000e-05
15.100000,3.4906528165,3.4906528165,8.580530e-04,2.000000e-05
15.105000,3.4906528111,3.4906528111,8.516256e-04,2.000000e-05
15.110000,3.4906528057,3.4906528057,8.451982e-04,2.000000e-05
15.115000,3.4906528002,3.4906528002,8.387708e-04,2.000000e-05
15.120000,3.4906527948,3.4906527948,8.323433e-04,2.000000e-05
15.125000,3.4906527893,3.4906527893,8.259159e-04,2.000000e-05
15.130000,3.4906527838,3.4906527838,8.194885e-04,2.000000e-05
15.135000,3.4906527782,3.4906527782,8.130611e-04,2.000000e-05
15.140000,3.4906527727,3.4906527727,8.066337e-04,2.000000e-05
15.145000,3.4906527671,3.4906527671,8.002063e-04,2.000000e-05
15.150000,3.4906527615,3.4906527615,7.937789e-04,2.000000e-05
15.155000,3.4906527559,3.4906527559,7.873515e-04,2.000000e-05
15.160000,3.4906527503,3.4906527503,7.809241e-04,2.000000e-05
15.165000,3.4906527447,3.4906527447,7.744967e-04,2.000000e-05
15.170000,3.4906527390,3.4906527390,7.680693e-04,2.000000e-05
15.175000,3.4906527333,3.4906527333,7.616418e-04,2.000000e-05
15.180000,3.4906527276,3.4906527276,7.552144e-04,2.000000e-05
15.185000,3.4906527219,3.4906527219,7.487870e-04,2.000000e-05
15.190000,3.4906527162,3.4906527162,7.423596e-04,2.000000e-05
15.195000,3.4906527104,3.4906527104,7.359322e-04,2.000000e-05
15.200000,3.4906527047,3.4906527047,7.295048e-04,2.000000e-05
15.205000,3.4906526989,3.4906526989,7.230774e-04,2.000000e-05
15.210000,3.4906526931,3.4906526931,7.166500e-04,2.000000e-05
15.215000,3.4906526873,3.4906526873,7.102226e-04,2.000000e-05
15.220000,3.4906526815,3.4906526815,7.037952e-04,2.000000e-05
15.225000,3.4906526756,3.4906526756,6.973678e-04,2.000000e-05
15.230000,3.4906526698,3.4906526698,6.909404e-04,2.000000e-05
15.235000,3.4906526639,3.4906526639,6.845130e-04,2.000000e-05
15.240000,3.4906526580,3.4906526580,6.780856e-04,2.000000e-05
15.245000,3.4906526521,3.4906526521,6.716582e-04,2.000000e-05
15.250000,3.4906526462,3.4906526462,6.652308e-04,2.000000e-05
15.255000,3.4906526402,3.4906526402,6.588034e-04,2.000000e-05
15.260000,3.4906526343,3.4906526343,6.523760e-04,2.000000e-05
15.265000,3.4906526284,3.4906526284,6.459486e-04,2.000000e-05
15.270000,3.4906526224,3.4906526224,6.395212e-04,2.000000e-05
15.275000,3.4906526164,3.4906526164,6.330938e-04,2.000000e-05
15.280000,3.4906526104,3.4906526104,6.266664e-04,2.000000e-05
15.285000,3.4906526044,3.4906526044,6.202390e-04,2.000000e-05
15.290000,3.4906525984,3.4906525984,6.138116e-04,2.000000e-05
15.295000,3.4906525924,3.4906525924,6.073842e-04,2.000000e-05
15.300000,3.4906525863,3.4906525863,6.009568e-04,2.000000e-05
15.305000,3.4906525803,3.4906525803,5.945294e-04,2.000000e-05
15.310000,3.4906525742,3.4906525742,5.881020e-04,2.000000e-05
15.315000,3.4906525681,3.4906525681,5.816746e-04,2.000000e-05
15.320000,3.4906525620,3.4906525620,5.752472e-04,2.000000e-05
15.325000,3.4906525559,3.4906525559,5.688198e-04,2.000000e-05
15.330000,3.4906525498,3.4906525498,5.623925e-04,2.000000e-05
15.335000,3.4906525437,3.4906525437,5.559651e-04,2.000000e-05
15.340000,3.4906525376,3.4906525376,5.495377e-04,2.000000e-05
15.345000,3.4906525314,3.4906525314,5.431103e-04,2.000000e-05
15.350000,3.4906525253,3.4906525253,5.366829e-04,2.000000e-05
15.355000,3.4906525191,3.4906525191,5.302555e-04,2.000000e-05
15.360000,3.4906525129,3.4906525129,5.238281e-04,2.000000e-05
15.365000,3.4906525068,3.4906525068,5.174007e-04,2.000000e-05
15.370000,3.4906525006,3.4906525006,5.109733e-04,2.000000e-05
15.375000,3.4906524944,3.4906524944,5.045459e-04,2.000000e-05
15.380000,3.4906524882,3.4906524882,4.981186e-04,2.000000e-05
15.385000,3.4906524819,3.4906524819,4.916912e-04,2.000000e-05
15.390000,3.4906524757,3.4906524757,4.852638e-04,2.000000e-05
15.395000,3.4906524695,3.4906524695,4.788364e-04,2.000000e-05
15.400000,3.4906524632,3.4906524632,4.724090e-04,2.000000e-05
15.405000,3.4906524570,3.4906524570,4.659816e-04,2.000000e-05
15.410000,3.4906524507,3.4906524507,4.595542e-04,2.000000e-05
15.415000,3.4906524444,3.4906524444,4.531269e-04,2.000000e-05
15.420000,3.4906524382,3.4906524382,4.466995e-04,2.000000e-05
15.425000,3.4906524319,3.4906524319,4.402721e-04,2.000000e-05
15.430000,3.4906524256,3.4906524256,4.338447e-04,2.000000e-05
15.435000,3.4906524193,3.4906524193,4.274173e-04,2.000000e-05
15.440000,3.4906524130,3.4906524130,4.209899e-04,2.000000e-05
15.445000,3.4906524066,3.4906524066,4.145626e-04,2.000000e-05
15.450000,3.4906524003,3.4906524003,4.081352e-04,2.000000e-05
15.455000,3.4906523940,3.4906523940,4.017078e-04,2.000000e-05
15.460000,3.4906523876,3.4906523876,3.952804e-04,2.000000e-05
15.465000,3.4906523813,3.4906523813,3.888530e-04,2.000000e-05
15.470000,3.4906523749,3.4906523749,3.824257e-04,2.000000e-05
15.475000,3.4906523685,3.4906523685,3.759983e-04,2.000000e-05
15.480000,3.4906523622,3.4906523622,3.695709e-04,2.000000e-05
15.485000,3.4906523558,3.4906523558,3.631435e-04,2.000000e-05
15.490000,3.4906523494,3.4906523494,3.567161e-04,2.000000e-05
15.495000,3.4906523430,3.4906523430,3.502888e-04,2.000000e-05
15.500000,3.4906523366,3.4906523366,3.438614e-04,2.000000e-05
15.505000,3.4906523302,3.4906523302,3.374340e-04,2.000000e-05
15.510000,3.4906523238,3.4906523238,3.310066e-04,2.000000e-05
15.515000,3.4906523173,3.4906523173,3.245793e-04,2.000000e-05
15.520000,3.4906523109,3.4906523109,3.181519e-04,2.000000e-05
15.525000,3.4906523045,3.4906523045,3.117245e-04,2.000000e-05
15.530000,3.4906522980,3.4906522980,3.052971e-04,2.000000e-05
15.535000,3.4906522916,3.4906522916,2.988698e-04,2.000000e-05
15.540000,3.4906522851,3.4906522851,2.924424e-04,2.000000e-05
15.545000,3.4906522786,3.4906522786,2.860150e-04,2.000000e-05
15.550000,3.4906522722,3.4906522722,2.795877e-04,2.000000e-05
15.555000,3.4906522657,3.4906522657,2.731603e-04,2.000000e-05
15.560000,3.4906522592,3.4906522592,2.667329e-04,2.000000e-05
15.565000,3.4906522527,3.4906522527,2.603056e-04,2.000000e-05
15.570000,3.4906522462,3.4906522462,2.538782e-04,2.000000e-05
15.575000,3.4906522397,3.4906522397,2.474508e-04,2.000000e-05
15.580000,3.4906522332,3.4906522332,2.410234e-04,2.000000e-05
15.585000,3.4906522267,3.4906522267,2.345961e-04,2.000000e-05
15.590000,3.4906522202,3.4906522202,2.281687e-04,2.000000e-05
15.595000,3.4906522136,3.4906522136,2.217413e-04,2.000000e-05
15.600000,3.4906522071,3.4906522071,2.153140e-04,2.000000e-05
15.605000,3.4906522005,3.4906522005,2.088866e-04,2.000000e-05
15.610000,3.4906521940,3.4906521940,2.024592e-04,2.000000e-05
15.615000,3.4906521874,3.4906521874,1.960319e-04,2.000000e-05
15.620000,3.4906521809,3.4906521809,1.896045e-04,2.000000e-05
15.625000,3.4906521743,3.4906521743,1.831772e-04,2.000000e-05
15.630000,3.4906521677,3.4906521677,1.767498e-04,2.000000e-05
15.635000,3.4906521612,3.4906521612,1.703224e-04,2.000000e-05
15.640000,3.4906521546,3.4906521546,1.638951e-04,2.000000e-05
15.645000,3.4906521480,3.4906521480,1.574677e-04,2.000000e-05
15.650000,3.4906521414,3.4906521414,1.510403e-04,2.000000e-05
15.655000,3.4906521348,3.4906521348,1.446130e-04,2.000000e-05
15.660000,3.4906521282,3.4906521282,1.381856e-04,2.000000e-05
15.665000,3.4906521216,3.4906521216,1.317583e-04,2.000000e-05
15.670000,3.4906521150,3.4906521150,1.253309e-04,2.000000e-05
15.675000,3.4906521084,3.4906521084,1.189035e-04,2.000000e-05
15.680000,3.4906521017,3.4906521017,1.124762e-04,2.000000e-05
15.685000,3.4906520951,3.4906520951,1.060488e-04,2.000000e-05
15.690000,3.4906520885,3.4906520885,9.962147e-05,2.000000e-05
15.695000,3.4906520818,3.4906520818,9.319411e-05,2.000000e-05
15.700000,3.4906520752,3.4906520752,8.676676e-05,2.000000e-05
15.705000,3.4906520685,3.4906520685,8.033940e-05,2.000000e-05
15.710000,3.4906520618,3.4906520618,7.391205e-05,2.000000e-05
15.715000,3.4906520552,3.4906520552,6.748469e-05,2.000000e-05
15.720000,3.4906520485,3.4906520485,6.105734e-05,2.000000e-05
15.725000,3.4906520418,3.4906520418,5.462998e-05,2.000000e-05
15.730000,3.4906520351,3.4906520351,4.820263e-05,2.000000e-05
15.735000,3.4906520285,3.4906520285,4.177528e-05,2.000000e-05
15.740000,3.4906520218,3.4906520218,3.534793e-05,2.000000e-05
15.745000,3.4906520151,3.4906520151,2.892057e-05,2.000000e-05
15.750000,3.4906520084,3.4906520084,2.249322e-05,2.000000e-05
15.755000,3.4906520017,3.4906520017,1.606587e-05,2.000000e-05
15.760000,3.4906520002,3.4906520002,9.638522e-06,2.022433e-05
15.765000,3.4906385782,3.4906385782,3.211173e-06,2.297598e-05
15.770000,3.4906451546,3.4906451546,-6.395532e-07,2.577221e-05
15.775000,3.4906451247,3.4906451247,-6.312500e-07,2.574946e-05
15.780000,3.4906461344,3.4906461344,-6.419464e-07,2.574217e-05
15.785000,3.4906461359,3.4906461359,-6.542045e-07,2.573625e-05
15.790000,3.4906462662,3.4906462662,-6.665007e-07,2.591869e-05
15.795000,3.4906461251,3.4906461251,-6.787028e-07,2.574061e-05
15.800000,3.4906461178,3.4906461178,-4.597246e-07,2.572665e-05
15.805000,3.4906462458,3.4906462458,-6.831887e-07,2.590672e-05
15.810000,3.4906461036,3.4906461036,-4.739140e-07,2.572502e-05
15.815000,3.4906460963,3.4906460963,-4.690650e-07,2.570949e-05
15.820000,3.4906460966,3.4906460966,-4.756466e-07,2.570328e-05
15.825000,3.4906460974,3.4906460974,-4.827986e-07,2.569760e-05
15.830000,3.4906460982,3.4906460982,-4.899135e-07,2.569198e-05
15.835000,3.4906460990,3.4906460990,-4.969580e-07,2.568638e-05
15.840000,3.4906460997,3.4906460997,-5.039310e-07,2.568081e-05
15.845000,3.4906461005,3.4906461005,-5.108328e-07,2.567525e-05
15.850000,3.4906461012,3.4906461012,-5.176642e-07,2.566972e-05
15.855000,3.4906461019,3.4906461019,-5.244256e-07,2.566420e-05
15.860000,3.4906461027,3.4906461027,-5.311177e-07,2.565871e-05
