t,theta_wrapped,theta_unwrapped,gap,d_cath
11.575000,4.5378421498,4.5378421498,3.151543e-04,2.000000e-05
11.580000,4.5378421278,4.5378421278,3.064940e-04,2.000000e-05
11.585000,4.5378421058,4.5378421058,2.978338e-04,2.000000e-05
11.590000,4.5378420838,4.5378420838,2.891736e-04,2.000000e-05
11.595000,4.5378420618,4.5378420618,2.805133e-04,2.000000e-05
11.600000,4.5378420398,4.5378420398,2.718531e-04,2.000000e-05
11.605000,4.5378420177,4.5378420177,2.631929e-04,2.000000e-05
11.610000,4.5378419956,4.5378419956,2.545327e-04,2.000000e-05
11.615000,4.5378419735,4.5378419735,2.458724e-04,2.000000e-05
11.620000,4.5378419514,4.5378419514,2.372122e-04,2.000000e-05
11.625000,4.5378419292,4.5378419292,2.285520e-04,2.000000e-05
11.630000,4.5378419071,4.5378419071,2.198917e-04,2.000000e-05
11.635000,4.5378418849,4.5378418849,2.112315e-04,2.000000e-05
11.640000,4.5378418627,4.5378418627,2.025713e-04,2.000000e-05
11.645000,4.5378418404,4.5378418404,1.939111e-04,2.000000e-05
11.650000,4.5378418182,4.5378418182,1.852508e-04,2.000000e-05
11.655000,4.5378417959,4.5378417959,1.765906e-04,2.000000e-05
11.660000,4.5378417736,4.5378417736,1.679304e-04,2.000000e-05
11.665000,4.5378417513,4.5378417513,1.592701e-04,2.000000e-05
11.670000,4.5378417290,4.5378417290,1.506099e-04,2.000000e-05
11.675000,4.5378417066,4.5378417066,1.419497e-04,2.000000e-05
11.680000,4.5378416843,4.5378416843,1.332895e-04,2.000000e-05
11.685000,4.5378416619,4.5378416619,1.246292e-04,2.000000e-05
11.690000,4.5378416395,4.5378416395,1.159690e-04,2.000000e-05
11.695000,4.5378416170,4.5378416170,1.073088e-04,2.000000e-05
11.700000,4.5378415946,4.5378415946,9.864855e-05,2.000000e-05
11.705000,4.5378415721,4.5378415721,8.998832e-05,2.000000e-05
11.710000,4.5378415496,4.5378415496,8.132810e-05,2.000000e-05
11.715000,4.5378415271,4.5378415271,7.266787e-05,2.000000e-05
11.720000,4.5378415046,4.5378415046,6.400764e-05,2.000000e-05
11.725000,4.5378414820,4.5378414820,5.534741e-05,2.000000e-05
11.730000,4.5378414594,4.5378414594,4.668718e-05,2.000000e-05
11.735000,4.5378414368,4.5378414368,3.802696e-05,2.000000e-05
11.740000,4.5378414142,4.5378414142,2.936673e-05,2.000000e-05
11.745000,4.5378413916,4.5378413916,2.070650e-05,2.000000e-05
11.750000,4.5378413802,4.5378413802,1.204627e-05,1.453932e-05
11.755000,4.5378413760,4.5378413760,3.386045e-06,4.636805e-06
11.760000,4.5378413718,4.5378413718,-6.221589e-07,3.642748e-07
11.765000,4.5378413676,4.5378413676,-6.305900e-07,3.641735e-07
11.770000,4.5378413631,4.5378413631,-6.309333e-07,3.639104e-07
11.775000,4.5378413586,4.5378413586,-6.305910e-07,3.634909e-07
11.780000,4.5378413540,4.5378413540,-6.299906e-07,3.629122e-07
11.785000,4.5378413495,4.5378413495,-6.290987e-07,3.621905e-07
11.790000,4.5378413450,4.5378413450,-6.279510e-07,3.613336e-07
11.795000,4.5378413405,4.5378413405,-6.265621e-07,3.603332e-07
11.800000,4.5378413360,4.5378413360,-6.249449e-07,3.592086e-07
11.805000,4.5378413316,4.5378413316,-6.230676e-07,3.579827e-07
11.810000,4.5378413271,4.5378413271,-6.210221e-07,3.612342e-07
11.815000,4.5378413226,4.5378413226,-6.187851e-07,3.644019e-07
11.820000,4.5378413182,4.5378413182,-6.317939e-07,3.628621e-07
11.825000,4.5378413137,4.5378413137,-6.297224e-07,3.611970e-07
11.830000,4.5378413093,4.5378413093,-6.268926e-07,3.594293e-07
11.835000,4.5378413048,4.5378413048,-6.238841e-07,3.575788e-07
11.840000,4.5378413004,4.5378413004,-6.207284e-07,3.601044e-07
11.845000,4.5378412959,4.5378412959,-6.174351e-07,3.626417e-07
11.850000,4.5378412915,4.5378412915,-6.293007e-07,3.606236e-07
11.855000,4.5378412870,4.5378412870,-6.261878e-07,3.584388e-07
11.860000,4.5378412826,4.5378412826,-6.224291e-07,3.605694e-07
11.865000,4.5378412781,4.5378412781,-6.185440e-07,3.627640e-07
11.870000,4.5378412737,4.5378412737,-6.298058e-07,3.604757e-07
11.875000,4.5378412693,4.5378412693,-6.261098e-07,3.579968e-07
11.880000,4.5378412648,4.5378412648,-6.218271e-07,3.597783e-07
11.885000,4.5378412604,4.5378412604,-6.174462e-07,3.616683e-07
11.890000,4.5378412560,4.5378412560,-6.281447e-07,3.591546e-07
11.895000,4.5378412515,4.5378412515,-6.239579e-07,3.607241e-07
11.900000,4.5378412471,4.5378412471,-6.192396e-07,3.624161e-07
11.905000,4.5378412427,4.5378412427,-6.295993e-07,3.597405e-07
11.910000,4.5378412383,4.5378412383,-6.250665e-07,3.610999e-07
11.915000,4.5378412339,4.5378412339,-6.200353e-07,3.626092e-07
11.920000,4.5378412295,4.5378412295,-6.300706e-07,3.597905e-07
11.925000,4.5378412250,4.5378412250,-6.252301e-07,3.609569e-07
11.930000,4.5378412206,4.5378412206,-6.199228e-07,3.622976e-07
11.935000,4.5378412162,4.5378412162,-6.296477e-07,3.593529e-07
11.940000,4.5378412118,4.5378412118,-6.245345e-07,3.603422e-07
11.945000,4.5378412074,4.5378412074,-6.189848e-07,3.615274e-07
11.950000,4.5378412030,4.5378412030,-6.284123e-07,3.626771e-07
11.955000,4.5378411986,4.5378411986,-6.230587e-07,3.637701e-07
11.960000,4.5378411942,4.5378411942,-6.323744e-07,3.606211e-07
11.965000,4.5378411898,4.5378411898,-6.268275e-07,3.613484e-07
11.970000,4.5378411854,4.5378411854,-6.208850e-07,3.623055e-07
11.975000,4.5378411811,4.5378411811,-6.299108e-07,3.590692e-07
11.980000,4.5378411767,4.5378411767,-6.241700e-07,3.596550e-07
11.985000,4.5378411723,4.5378411723,-6.180607e-07,3.604860e-07
11.990000,4.5378411679,4.5378411679,-6.268183e-07,3.612856e-07
11.995000,4.5378411635,4.5378411635,-6.209098e-07,3.620410e-07
12.000000,4.5378411591,4.5378411591,-6.295666e-07,3.627658e-07
12.005000,4.5378411548,4.5378411548,-6.235063e-07,3.634490e-07
12.010000,4.5378411504,4.5378411504,-6.320557e-07,3.599951e-07
12.015000,4.5378411460,4.5378411460,-6.258517e-07,3.602915e-07
12.020000,4.5378411417,4.5378411417,-6.193261e-07,3.608688e-07
12.025000,4.5378411373,4.5378411373,-6.276191e-07,3.614177e-07
12.030000,4.5378411329,4.5378411329,-6.212984e-07,3.619310e-07
12.035000,4.5378411286,4.5378411286,-6.294982e-07,3.624159e-07
12.040000,4.5378411242,4.5378411242,-6.230548e-07,3.628674e-07
12.045000,4.5378411198,4.5378411198,-6.311557e-07,3.632911e-07
12.050000,4.5378411155,4.5378411155,-6.245967e-07,3.636832e-07
12.055000,4.5378411111,4.5378411111,-6.326006e-07,3.600130e-07
12.060000,4.5378411068,4.5378411068,-6.259328e-07,3.600043e-07
12.065000,4.5378411024,4.5378411024,-6.189959e-07,3.603118e-07
12.070000,4.5378410981,4.5378410981,-6.267666e-07,3.605940e-07
12.075000,4.5378410938,4.5378410938,-6.200359e-07,3.608496e-07
12.080000,4.5378410894,4.5378410894,-6.277216e-07,3.610795e-07
12.085000,4.5378410851,4.5378410851,-6.208992e-07,3.612845e-07
12.090000,4.5378410807,4.5378410807,-6.284953e-07,3.614642e-07
12.095000,4.5378410764,4.5378410764,-6.215871e-07,3.616207e-07
12.100000,4.5378410721,4.5378410721,-6.290952e-07,3.617524e-07
12.105000,4.5378410677,4.5378410677,-6.221067e-07,3.618623e-07
12.110000,4.5378410634,4.5378410634,-6.295285e-07,3.619479e-07
12.115000,4.5378410591,4.5378410591,-6.224652e-07,3.620133e-07
12.120000,4.5378410548,4.5378410548,-6.298023e-07,3.620547e-07
12.125000,4.5378410504,4.5378410504,-6.226693e-07,3.620774e-07
12.130000,4.5378410461,4.5378410461,-6.299231e-07,3.620765e-07
12.135000,4.5378410418,4.5378410418,-6.227256e-07,3.620583e-07
12.140000,4.5378410375,4.5378410375,-6.298975e-07,3.620169e-07
12.145000,4.5378410332,4.5378410332,-6.226402e-07,3.619595e-07
12.150000,4.5378410289,4.5378410289,-6.297317e-07,3.618794e-07
12.155000,4.5378410246,4.5378410246,-6.224192e-07,3.617845e-07
12.160000,4.5378410203,4.5378410203,-6.294317e-07,3.616672e-07
12.165000,4.5378410159,4.5378410159,-6.220684e-07,3.615364e-07
12.170000,4.5378410116,4.5378410116,-6.290032e-07,3.613837e-07
12.175000,4.5378410073,4.5378410073,-6.215935e-07,3.612185e-07
12.180000,4.5378410031,4.5378410031,-6.284519e-07,3.610318e-07
12.185000,4.5378409988,4.5378409988,-6.209997e-07,3.608338e-07
12.190000,4.5378409945,4.5378409945,-6.277831e-07,3.606146e-07
12.195000,4.5378409902,4.5378409902,-6.202924e-07,3.603852e-07
12.200000,4.5378409859,4.5378409859,-6.270019e-07,3.601349e-07
12.205000,4.5378409816,4.5378409816,-6.194763e-07,3.643063e-07
12.210000,4.5378409773,4.5378409773,-6.261133e-07,3.638418e-07
12.215000,4.5378409730,4.5378409730,-6.330149e-07,3.635417e-07
12.220000,4.5378409688,4.5378409688,-6.253524e-07,3.632322e-07
12.225000,4.5378409645,4.5378409645,-6.319515e-07,3.629024e-07
12.230000,4.5378409602,4.5378409602,-6.242590e-07,3.625658e-07
12.235000,4.5378409559,4.5378409559,-6.307875e-07,3.622093e-07
12.240000,4.5378409517,4.5378409517,-6.230720e-07,3.618469e-07
12.245000,4.5378409474,4.5378409474,-6.295311e-07,3.614649e-07
12.250000,4.5378409431,4.5378409431,-6.217959e-07,3.610777e-07
12.255000,4.5378409389,4.5378409389,-6.281867e-07,3.606714e-07
12.260000,4.5378409346,4.5378409346,-6.204345e-07,3.646310e-07
12.265000,4.5378409303,4.5378409303,-6.267582e-07,3.640366e-07
12.270000,4.5378409261,4.5378409261,-6.333259e-07,3.635886e-07
12.275000,4.5378409218,4.5378409218,-6.254606e-07,3.631357e-07
12.280000,4.5378409176,4.5378409176,-6.317501e-07,3.626642e-07
12.285000,4.5378409133,4.5378409133,-6.238718e-07,3.621903e-07
12.290000,4.5378409091,4.5378409091,-6.300960e-07,3.616980e-07
12.295000,4.5378409048,4.5378409048,-6.222105e-07,3.612040e-07
12.300000,4.5378409006,4.5378409006,-6.283702e-07,3.606921e-07
12.305000,4.5378408963,4.5378408963,-6.204800e-07,3.644986e-07
12.310000,4.5378408921,4.5378408921,-6.265764e-07,3.638165e-07
12.315000,4.5378408879,4.5378408879,-6.329017e-07,3.632684e-07
12.320000,4.5378408836,4.5378408836,-6.249147e-07,3.627186e-07
12.325000,4.5378408794,4.5378408794,-6.309797e-07,3.621513e-07
12.330000,4.5378408752,4.5378408752,-6.229912e-07,3.615845e-07
12.335000,4.5378408709,4.5378408709,-6.289943e-07,3.610005e-07
12.340000,4.5378408667,4.5378408667,-6.210092e-07,3.647033e-07
12.345000,4.5378408625,4.5378408625,-6.269516e-07,3.639614e-07
12.350000,4.5378408583,4.5378408583,-6.331126e-07,3.633451e-07
12.355000,4.5378408540,4.5378408540,-6.250418e-07,3.627291e-07
12.360000,4.5378408498,4.5378408498,-6.309545e-07,3.620964e-07
12.365000,4.5378408456,4.5378408456,-6.228899e-07,3.614662e-07
12.370000,4.5378408414,4.5378408414,-6.287433e-07,3.608195e-07
12.375000,4.5378408372,4.5378408372,-6.206892e-07,3.644235e-07
12.380000,4.5378408330,4.5378408330,-6.264842e-07,3.636300e-07
12.385000,4.5378408288,4.5378408288,-6.324879e-07,3.629544e-07
12.390000,4.5378408245,4.5378408245,-6.243580e-07,3.622810e-07
12.395000,4.5378408203,4.5378408203,-6.301250e-07,3.615916e-07
12.400000,4.5378408161,4.5378408161,-6.220080e-07,3.651381e-07
12.405000,4.5378408119,4.5378408119,-6.277180e-07,3.643088e-07
12.410000,4.5378408077,4.5378408077,-6.336310e-07,3.635926e-07
12.415000,4.5378408036,4.5378408036,-6.254445e-07,3.628796e-07
12.420000,4.5378407994,4.5378407994,-6.311275e-07,3.621512e-07
12.425000,4.5378407952,4.5378407952,-6.229583e-07,3.614281e-07
12.430000,4.5378407910,4.5378407910,-6.285856e-07,3.606897e-07
12.435000,4.5378407868,4.5378407868,-6.204373e-07,3.641447e-07
12.440000,4.5378407826,4.5378407826,-6.260099e-07,3.632758e-07
12.445000,4.5378407784,4.5378407784,-6.317761e-07,3.625135e-07
12.450000,4.5378407743,4.5378407743,-6.235666e-07,3.617559e-07
12.455000,4.5378407701,4.5378407701,-6.291135e-07,3.609834e-07
12.460000,4.5378407659,4.5378407659,-6.209266e-07,3.643854e-07
12.465000,4.5378407617,4.5378407617,-6.264201e-07,3.634882e-07
12.470000,4.5378407576,4.5378407576,-6.321017e-07,3.626936e-07
12.475000,4.5378407534,4.5378407534,-6.238590e-07,3.619047e-07
12.480000,4.5378407492,4.5378407492,-6.293276e-07,3.611013e-07
12.485000,4.5378407451,4.5378407451,-6.211110e-07,3.644517e-07
12.490000,4.5378407409,4.5378407409,-6.265274e-07,3.635292e-07
12.495000,4.5378407367,4.5378407367,-6.321268e-07,3.627053e-07
12.500000,4.5378407326,4.5378407326,-6.238592e-07,3.618880e-07
12.505000,4.5378407284,4.5378407284,-6.292517e-07,3.610565e-07
12.510000,4.5378407243,4.5378407243,-6.210135e-07,3.643569e-07
12.515000,4.5378407201,4.5378407201,-6.263549e-07,3.634116e-07
12.520000,4.5378407160,4.5378407160,-6.318741e-07,3.625612e-07
12.525000,4.5378407118,4.5378407118,-6.235895e-07,3.617182e-07
12.530000,4.5378407077,4.5378407077,-6.289077e-07,3.608614e-07
12.535000,4.5378407035,4.5378407035,-6.206554e-07,3.641133e-07
12.540000,4.5378406994,4.5378406994,-6.259237e-07,3.631474e-07
12.545000,4.5378406953,4.5378406953,-6.313648e-07,3.622732e-07
12.550000,4.5378406911,4.5378406911,-6.230705e-07,3.655093e-07
12.555000,4.5378406870,4.5378406870,-6.283163e-07,3.645270e-07
12.560000,4.5378406829,4.5378406829,-6.337333e-07,3.636344e-07
12.565000,4.5378406787,4.5378406787,-6.253976e-07,3.627504e-07
12.570000,4.5378406746,4.5378406746,-6.306213e-07,3.618531e-07
12.575000,4.5378406705,4.5378406705,-6.223222e-07,3.650426e-07
12.580000,4.5378406664,4.5378406664,-6.274975e-07,3.640432e-07
12.585000,4.5378406622,4.5378406622,-6.328392e-07,3.631305e-07
12.590000,4.5378406581,4.5378406581,-6.245042e-07,3.622270e-07
12.595000,4.5378406540,4.5378406540,-6.296581e-07,3.613105e-07
12.600000,4.5378406499,4.5378406499,-6.213620e-07,3.644547e-07
12.605000,4.5378406458,4.5378406458,-6.264686e-07,3.634403e-07
12.610000,4.5378406417,4.5378406417,-6.317368e-07,3.625096e-07
12.615000,4.5378406376,4.5378406376,-6.234083e-07,3.656394e-07
12.620000,4.5378406335,4.5378406335,-6.284941e-07,3.646114e-07
12.625000,4.5378406294,4.5378406294,-6.337400e-07,3.636656e-07
12.630000,4.5378406253,4.5378406253,-6.253797e-07,3.627299e-07
12.635000,4.5378406212,4.5378406212,-6.304450e-07,3.617818e-07
12.640000,4.5378406171,4.5378406171,-6.221270e-07,3.648680e-07
12.645000,4.5378406130,4.5378406130,-6.271464e-07,3.638278e-07
12.650000,4.5378406089,4.5378406089,-6.323214e-07,3.628672e-07
12.655000,4.5378406048,4.5378406048,-6.239762e-07,3.659396e-07
12.660000,4.5378406007,4.5378406007,-6.289757e-07,3.648874e-07
12.665000,4.5378405966,4.5378405966,-6.341293e-07,3.639133e-07
12.670000,4.5378405925,4.5378405925,-6.257573e-07,3.629503e-07
12.675000,4.5378405885,4.5378405885,-6.307372e-07,3.619752e-07
12.680000,4.5378405844,4.5378405844,-6.224106e-07,3.650057e-07
12.685000,4.5378405803,4.5378405803,-6.273459e-07,3.639439e-07
12.690000,4.5378405762,4.5378405762,-6.324310e-07,3.629578e-07
12.695000,4.5378405722,4.5378405722,-6.240817e-07,3.659752e-07
12.700000,4.5378405681,4.5378405681,-6.289980e-07,3.649028e-07
12.705000,4.5378405640,4.5378405640,-6.340626e-07,3.639049e-07
12.710000,4.5378405600,4.5378405600,-6.256911e-07,3.629187e-07
12.715000,4.5378405559,4.5378405559,-6.305885e-07,3.619208e-07
12.720000,4.5378405518,4.5378405518,-6.222649e-07,3.648978e-07
12.725000,4.5378405478,4.5378405478,-6.271192e-07,3.638180e-07
12.730000,4.5378405437,4.5378405437,-6.321175e-07,3.628107e-07
12.735000,4.5378405397,4.5378405397,-6.237754e-07,3.657752e-07
12.740000,4.5378405356,4.5378405356,-6.286113e-07,3.646861e-07
12.745000,4.5378405316,4.5378405316,-6.335900e-07,3.636682e-07
12.750000,4.5378405275,4.5378405275,-6.252297e-07,3.626627e-07
12.755000,4.5378405235,4.5378405235,-6.300476e-07,3.616459e-07
12.760000,4.5378405194,4.5378405194,-6.217374e-07,3.645715e-07
12.765000,4.5378405154,4.5378405154,-6.265133e-07,3.634771e-07
12.770000,4.5378405113,4.5378405113,-6.314279e-07,3.624520e-07
12.775000,4.5378405073,4.5378405073,-6.231029e-07,3.653657e-07
12.780000,4.5378405033,4.5378405033,-6.278613e-07,3.642632e-07
